,Zip Code,Property Type,Square Feet,Market Value,Year Built,Decade Built
20,78705,SFR,0,682787,1908,1900's
234,78705,DUPLEX,5503,606300,1902,1900's
24,78705,SFR,4529,986000,1900,1900's
231,78705,QUADRUPLEX,3810,514634,1900,1900's
235,78705,TRIPLEX,2143,470161,1900,1900's
25,78705,SFR,1460,561600,1900,1900's
284,78702,DUPLEX,2478,664447,1910,1910's
268,78702,QUADRUPLEX,2933,763907,1910,1910's
22,78705,SFR,1272,450281,1910,1910's
226,78705,DUPLEX,2694,504467,1928,1920's
228,78705,TRIPLEX,2499,438955,1921,1920's
221,78705,DUPLEX,2548,534233,1920,1920's
273,78702,DUPLEX,1456,598552,1924,1920's
30,78705,SFR,3278,619000,1927,1920's
33,78705,SFR,3510,737118,1920,1920's
278,78702,DUPLEX,850,503725,1926,1920's
232,78705,DUPLEX,1007,232266,1924,1920's
23,78705,SFR,1080,846484,1923,1920's
28,78705,SFR,958,416206,1938,1930's
229,78705,QUADRUPLEX,4598,610000,1935,1930's
26,78705,SFR,5164,1285000,1931,1930's
32,78705,SFR,1834,504800,1930,1930's
34,78705,SFR,1700,541238,1930,1930's
29,78705,SFR,2348,489781,1938,1930's
35,78705,SFR,1543,450000,1937,1930's
267,78702,DUPLEX,816,416299,1936,1930's
225,78705,DUPLEX,1760,241092,1937,1930's
272,78702,DUPLEX,1440,507825,1936,1930's
84,78702,SFR,2657,728300,1935,1930's
275,78702,DUPLEX,2772,780040,1935,1930's
185,78702,CONDOMINIUM,853,302153,1935,1930's
184,78702,CONDOMINIUM,1344,267075,1938,1930's
280,78702,DUPLEX,1372,426187,1932,1930's
120,78705,CONDOMINIUM,3997,895100,1934,1930's
96,78702,SFR,710,409409,1932,1930's
21,78705,SFR,5088,680800,1935,1930's
236,78705,TRIPLEX,9293,2033941,1936,1930's
223,78705,QUADRUPLEX,4950,574708,1945,1940's
220,78705,QUADRUPLEX,4417,706621,1940,1940's
200,78745,DUPLEX,1872,184570,1948,1940's
233,78705,DUPLEX,1722,481529,1940,1940's
285,78702,DUPLEX,2009,560828,1948,1940's
282,78702,DUPLEX,2158,614000,1940,1940's
279,78702,TRIPLEX,9828,1432872,1947,1940's
88,78702,SFR,1130,464709,1945,1940's
7,78745,SFR,2124,612723,1949,1940's
239,78705,DUPLEX,2681,722775,1949,1940's
85,78702,SFR,616,389500,1955,1950's
93,78702,SFR,688,643220,1950,1950's
65,78732,SFR,1120,244747,1952,1950's
276,78702,TRIPLEX,1811,497834,1950,1950's
187,78702,CONDOMINIUM,1008,311000,1954,1950's
211,78745,DUPLEX,1560,361600,1958,1950's
271,78702,DUPLEX,1342,529389,1950,1950's
86,78702,SFR,1148,492400,1955,1950's
269,78702,DUPLEX,2828,689151,1950,1950's
16,78745,SFR,912,232648,1955,1950's
27,78705,SFR,2654,491200,1950,1950's
31,78705,SFR,1232,453600,1951,1950's
274,78702,DUPLEX,2724,571600,1962,1960's
80,78702,MOBILE HOME,460,1777,1968,1960's
262,78732,DUPLEX,1416,201979,1962,1960's
281,78702,DUPLEX,2758,777390,1960,1960's
264,78732,DUPLEX,5160,450984,1967,1960's
230,78705,DUPLEX,1806,467745,1962,1960's
63,78732,MOBILE HOME,720,2487,1968,1960's
75,78732,MOBILE HOME,720,2363,1968,1960's
60,78732,SFR,1796,282044,1960,1960's
9,78745,SFR,1108,230168,1960,1960's
213,78745,DUPLEX,2270,314315,1965,1960's
270,78702,DUPLEX,1227,532805,1962,1960's
81,78702,SFR,681,359000,1960,1960's
261,78732,DUPLEX,2904,335254,1975,1970's
219,78745,QUADRUPLEX,3314,314483,1972,1970's
260,78732,TRIPLEX,1699,208555,1978,1970's
265,78732,DUPLEX,2838,267500,1976,1970's
218,78745,QUADRUPLEX,3314,322029,1972,1970's
79,78732,MOBILE HOME,980,3804,1978,1970's
0,78745,SFR,1491,236137,1976,1970's
57,78729,SFR,1983,340497,1975,1970's
54,78729,SFR,2210,375002,1976,1970's
56,78729,SFR,1845,363679,1975,1970's
43,78729,SFR,1821,283000,1979,1970's
67,78732,SFR,2582,299800,1979,1970's
58,78729,SFR,1686,337728,1975,1970's
18,78745,SFR,1619,271131,1976,1970's
14,78745,SFR,1731,282776,1976,1970's
13,78745,SFR,1958,296401,1976,1970's
12,78745,SFR,1632,273608,1976,1970's
11,78745,SFR,1872,292092,1976,1970's
52,78729,SFR,1554,295375,1977,1970's
10,78745,SFR,2016,306719,1976,1970's
69,78732,MOBILE HOME,952,3938,1978,1970's
49,78729,SFR,2268,363538,1976,1970's
5,78745,SFR,1776,262661,1976,1970's
4,78745,SFR,2287,302262,1976,1970's
3,78745,SFR,2062,277665,1976,1970's
2,78745,SFR,1563,212751,1976,1970's
6,78745,SFR,1774,263343,1976,1970's
64,78732,SFR,2708,717618,1970,1970's
1,78745,SFR,1950,310400,1976,1970's
242,78729,DUPLEX,2217,349621,1985,1980's
136,78705,CONDOMINIUM,624,230445,1982,1980's
137,78705,CONDOMINIUM,893,314845,1982,1980's
48,78729,SFR,2416,348952,1986,1980's
46,78729,SFR,3092,452312,1989,1980's
44,78729,SFR,1733,295245,1989,1980's
138,78705,CONDOMINIUM,701,247150,1982,1980's
139,78705,CONDOMINIUM,652,240785,1982,1980's
41,78729,SFR,1887,308383,1989,1980's
240,78729,DUPLEX,2373,359942,1985,1980's
244,78729,DUPLEX,2027,315113,1985,1980's
243,78729,DUPLEX,2148,343288,1985,1980's
42,78729,SFR,2090,352004,1989,1980's
241,78729,DUPLEX,1938,326145,1985,1980's
77,78732,MOBILE HOME,1152,7097,1982,1980's
217,78745,DUPLEX,1468,146246,1981,1980's
201,78745,DUPLEX,2837,368992,1980,1980's
202,78745,DUPLEX,1731,329841,1980,1980's
203,78745,DUPLEX,1735,397630,1981,1980's
204,78745,DUPLEX,2150,382200,1980,1980's
205,78745,DUPLEX,1735,329909,1981,1980's
206,78745,DUPLEX,2135,391541,1981,1980's
207,78745,DUPLEX,2196,329580,1980,1980's
208,78745,DUPLEX,2018,264246,1985,1980's
209,78745,DUPLEX,1456,271517,1981,1980's
210,78745,DUPLEX,1468,249095,1980,1980's
212,78745,DUPLEX,1468,276202,1980,1980's
135,78705,CONDOMINIUM,887,282900,1982,1980's
214,78745,DUPLEX,2808,362500,1980,1980's
215,78745,DUPLEX,2560,380500,1980,1980's
216,78745,DUPLEX,2808,377296,1980,1980's
50,78729,SFR,2684,363056,1989,1980's
134,78705,CONDOMINIUM,874,308143,1982,1980's
133,78705,CONDOMINIUM,885,312024,1982,1980's
132,78705,CONDOMINIUM,652,240785,1982,1980's
249,78729,DUPLEX,2116,333022,1985,1980's
76,78732,MOBILE HOME,1120,4661,1981,1980's
250,78729,DUPLEX,1944,325687,1985,1980's
74,78732,MOBILE HOME,1216,6059,1985,1980's
251,78729,DUPLEX,2190,337801,1985,1980's
15,78745,SFR,1584,264135,1980,1980's
248,78729,DUPLEX,2373,356181,1985,1980's
17,78745,SFR,1543,259726,1980,1980's
19,78745,SFR,1700,270427,1980,1980's
253,78729,DUPLEX,2348,359373,1984,1980's
254,78729,DUPLEX,2217,174583,1984,1980's
255,78729,DUPLEX,2217,174583,1984,1980's
256,78729,DUPLEX,1948,328453,1984,1980's
257,78729,DUPLEX,1997,322858,1984,1980's
252,78729,DUPLEX,2252,345527,1984,1980's
258,78729,DUPLEX,2133,344433,1985,1980's
8,78745,SFR,1101,239028,1980,1980's
124,78705,CONDOMINIUM,893,314845,1982,1980's
131,78705,CONDOMINIUM,654,219100,1982,1980's
130,78705,CONDOMINIUM,893,307800,1982,1980's
129,78705,CONDOMINIUM,652,219000,1982,1980's
128,78705,CONDOMINIUM,634,234136,1982,1980's
127,78705,CONDOMINIUM,649,229363,1982,1980's
126,78705,CONDOMINIUM,890,313782,1982,1980's
125,78705,CONDOMINIUM,645,218300,1982,1980's
247,78729,DUPLEX,2116,336358,1985,1980's
259,78729,DUPLEX,2206,342327,1985,1980's
122,78705,CONDOMINIUM,884,311665,1982,1980's
121,78705,CONDOMINIUM,652,240785,1982,1980's
245,78729,DUPLEX,1913,311967,1985,1980's
246,78729,DUPLEX,2116,346214,1985,1980's
123,78705,CONDOMINIUM,879,291716,1982,1980's
72,78732,MOBILE HOME,924,10230,1995,1990's
71,78732,MOBILE HOME,2128,24127,1996,1990's
68,78732,MOBILE HOME,1404,8857,1993,1990's
70,78732,MOBILE HOME,1216,7675,1993,1990's
51,78729,SFR,1891,312436,1990,1990's
53,78729,SFR,2283,343361,1990,1990's
59,78729,SFR,1790,314225,1993,1990's
73,78732,MOBILE HOME,672,2849,1998,1990's
47,78729,SFR,1606,303522,1990,1990's
45,78729,SFR,1629,291456,1990,1990's
61,78732,MOBILE HOME,672,2422,1998,1990's
40,78729,SFR,2592,348888,1991,1990's
55,78729,SFR,1550,283469,1990,1990's
78,78732,MOBILE HOME,1216,8079,1995,1990's
222,78705,DUPLEX,4680,708218,2003,2000's
224,78705,DUPLEX,3688,1032640,2002,2000's
227,78705,DUPLEX,8664,740668,2002,2000's
238,78705,QUADRUPLEX,5160,619330,2001,2000's
283,78702,DUPLEX,1320,516778,2005,2000's
191,78702,CONDOMINIUM,1047,522580,2007,2000's
141,78729,CONDOMINIUM,1663,239525,2003,2000's
146,78729,CONDOMINIUM,1663,239525,2003,2000's
159,78729,CONDOMINIUM,1512,225997,2003,2000's
158,78729,CONDOMINIUM,1454,229721,2003,2000's
157,78729,CONDOMINIUM,1501,230599,2002,2000's
156,78729,CONDOMINIUM,1818,249020,2003,2000's
155,78729,CONDOMINIUM,1501,230599,2002,2000's
154,78729,CONDOMINIUM,1818,258681,2003,2000's
153,78729,CONDOMINIUM,1512,225997,2003,2000's
152,78729,CONDOMINIUM,1663,230575,2003,2000's
151,78729,CONDOMINIUM,1501,230599,2002,2000's
149,78729,CONDOMINIUM,1663,239525,2003,2000's
148,78729,CONDOMINIUM,1663,239525,2003,2000's
147,78729,CONDOMINIUM,1663,239525,2003,2000's
145,78729,CONDOMINIUM,1592,244799,2003,2000's
190,78702,CONDOMINIUM,2148,741558,2007,2000's
98,78702,SFR,2181,946490,2006,2000's
97,78702,SFR,2181,940149,2006,2000's
95,78702,SFR,1496,896070,2009,2000's
94,78702,SFR,4437,1835400,2001,2000's
144,78729,CONDOMINIUM,1592,235653,2003,2000's
143,78729,CONDOMINIUM,1818,258681,2003,2000's
142,78729,CONDOMINIUM,1818,249020,2003,2000's
89,78702,SFR,6302,1040200,2003,2000's
140,78729,CONDOMINIUM,1592,244799,2003,2000's
83,78702,SFR,1008,607377,2009,2000's
82,78702,SFR,2822,829402,2002,2000's
99,78702,SFR,2181,944207,2006,2000's
113,78745,CONDOMINIUM,1220,242221,2016,2010's
114,78745,CONDOMINIUM,1220,242221,2016,2010's
115,78745,CONDOMINIUM,1220,242221,2016,2010's
112,78745,CONDOMINIUM,1220,242221,2016,2010's
107,78745,CONDOMINIUM,1220,242221,2016,2010's
110,78745,CONDOMINIUM,1220,242221,2016,2010's
87,78702,SFR,3094,930255,2012,2010's
90,78702,SFR,2252,801200,2011,2010's
91,78702,SFR,4031,1348884,2015,2010's
277,78702,DUPLEX,4504,915008,2010,2010's
92,78702,SFR,1601,1545698,2011,2010's
100,78745,CONDOMINIUM,2674,337355,2018,2010's
101,78745,CONDOMINIUM,1220,242221,2016,2010's
102,78745,CONDOMINIUM,1220,242221,2016,2010's
103,78745,CONDOMINIUM,1220,242221,2016,2010's
266,78702,DUPLEX,3242,1157700,2017,2010's
104,78745,CONDOMINIUM,1220,242221,2016,2010's
36,78705,SFR,1888,853900,2017,2010's
263,78732,DUPLEX,12109,1943268,2012,2010's
37,78705,SFR,2768,1346568,2011,2010's
38,78705,SFR,2412,1085600,2011,2010's
39,78705,SFR,2645,1170100,2011,2010's
105,78745,CONDOMINIUM,1220,242221,2016,2010's
106,78745,CONDOMINIUM,1220,242221,2016,2010's
116,78745,CONDOMINIUM,1220,242221,2016,2010's
108,78745,CONDOMINIUM,1220,242221,2016,2010's
109,78745,CONDOMINIUM,1220,242221,2016,2010's
111,78745,CONDOMINIUM,1220,242221,2016,2010's
117,78745,CONDOMINIUM,1220,242221,2016,2010's
189,78702,CONDOMINIUM,894,431341,2016,2010's
119,78745,CONDOMINIUM,1220,239000,2016,2010's
178,78732,CONDOMINIUM,2565,423746,2013,2010's
179,78732,CONDOMINIUM,2475,411319,2011,2010's
180,78702,CONDOMINIUM,1680,579700,2016,2010's
181,78702,CONDOMINIUM,971,444851,2018,2010's
62,78732,MOBILE HOME,750,28737,2015,2010's
186,78702,CONDOMINIUM,820,424507,2015,2010's
188,78702,CONDOMINIUM,1608,578947,2016,2010's
199,78702,CONDOMINIUM,877,427489,2013,2010's
198,78702,CONDOMINIUM,1878,626778,2013,2010's
197,78702,CONDOMINIUM,2008,639500,2014,2010's
196,78702,CONDOMINIUM,856,453678,2015,2010's
195,78702,CONDOMINIUM,2031,639365,2015,2010's
194,78702,CONDOMINIUM,1062,429092,2016,2010's
193,78702,CONDOMINIUM,1917,585000,2016,2010's
192,78702,CONDOMINIUM,1853,656682,2016,2010's
177,78732,CONDOMINIUM,2475,405591,2011,2010's
176,78732,CONDOMINIUM,2955,437627,2013,2010's
175,78732,CONDOMINIUM,3820,467007,2013,2010's
174,78732,CONDOMINIUM,2955,437627,2013,2010's
66,78732,SFR,4907,882300,2012,2010's
237,78705,DUPLEX,3196,574300,2013,2010's
160,78732,CONDOMINIUM,3820,467007,2013,2010's
161,78732,CONDOMINIUM,3820,490909,2013,2010's
162,78732,CONDOMINIUM,2955,437627,2013,2010's
163,78732,CONDOMINIUM,3820,490909,2013,2010's
164,78732,CONDOMINIUM,2955,437627,2013,2010's
118,78745,CONDOMINIUM,1220,242221,2016,2010's
165,78732,CONDOMINIUM,3820,490909,2013,2010's
167,78732,CONDOMINIUM,2955,437627,2013,2010's
168,78732,CONDOMINIUM,3820,490909,2013,2010's
169,78732,CONDOMINIUM,2955,437627,2013,2010's
170,78732,CONDOMINIUM,2955,437627,2013,2010's
171,78732,CONDOMINIUM,3820,490909,2013,2010's
172,78732,CONDOMINIUM,2955,437627,2013,2010's
173,78732,CONDOMINIUM,3820,490909,2013,2010's
166,78732,CONDOMINIUM,3820,467007,2013,2010's
182,78702,CONDOMINIUM,1649,684756,2018,2010's
150,78729,CONDOMINIUM,0,2295565,0,
183,78702,CONDOMINIUM,0,175000,0,
